Date,Open,High,Low,Close,Adj Close,Volume
2022-01-20,8.250000,8.300000,8.060000,8.090000,7.972852,4018400
2022-01-21,7.960000,8.020000,7.850000,7.860000,7.759610,5229100
2022-01-24,7.550000,7.630000,7.360000,7.620000,7.522675,5225800
2022-01-25,7.520000,7.580000,7.380000,7.400000,7.305486,4767200
2022-01-26,7.450000,7.510000,7.220000,7.310000,7.216635,4842100
2022-01-27,7.250000,7.250000,7.070000,7.080000,6.989573,3327300
2022-01-28,7.220000,7.410000,7.180000,7.410000,7.315358,5311000
2022-01-31,7.540000,7.710000,7.540000,7.690000,7.591782,3168400
2022-02-01,7.650000,7.720000,7.620000,7.720000,7.621398,2384400
2022-02-02,7.800000,7.860000,7.770000,7.830000,7.729993,4147700
2022-02-03,7.650000,7.700000,7.550000,7.550000,7.453570,2832900
2022-02-04,7.560000,7.640000,7.520000,7.600000,7.502931,2518300
2022-02-07,7.480000,7.500000,7.400000,7.440000,7.344975,3676100
2022-02-08,7.400000,7.540000,7.340000,7.540000,7.443697,3513700
2022-02-09,7.620000,7.670000,7.580000,7.650000,7.552292,2539800
2022-02-10,7.520000,7.630000,7.460000,7.490000,7.394336,2249600
2022-02-11,7.410000,7.480000,7.250000,7.280000,7.187018,1646500
2022-02-14,7.190000,7.210000,7.100000,7.160000,7.068551,2693600
2022-02-15,7.440000,7.480000,7.410000,7.470000,7.374591,2118400
2022-02-16,7.420000,7.480000,7.370000,7.450000,7.354847,1865600
2022-02-17,7.420000,7.450000,7.360000,7.360000,7.265997,1635200
2022-02-18,7.400000,7.440000,7.320000,7.330000,7.236379,3563400
2022-02-22,7.390000,7.570000,7.380000,7.500000,7.404208,4657100
2022-02-23,7.540000,7.560000,7.370000,7.370000,7.275868,9707100
2022-02-24,6.980000,7.180000,6.860000,7.180000,7.088295,5729100
2022-02-25,7.280000,7.430000,7.230000,7.430000,7.335103,3473100
2022-02-28,7.320000,7.340000,7.200000,7.290000,7.196890,3578500
2022-03-01,7.240000,7.270000,7.080000,7.110000,7.019189,2991700
2022-03-02,7.210000,7.350000,7.200000,7.320000,7.226507,3965800
2022-03-03,7.360000,7.460000,7.260000,7.300000,7.206763,5393400
2022-03-04,7.310000,7.360000,7.230000,7.320000,7.226507,5152900
2022-03-07,7.300000,7.340000,7.210000,7.240000,7.147529,5158300
2022-03-08,7.350000,7.580000,7.320000,7.480000,7.384464,5691100
2022-03-09,7.620000,7.670000,7.520000,7.600000,7.502931,2883000
2022-03-10,7.460000,7.630000,7.460000,7.570000,7.473315,4038100
2022-03-11,7.620000,7.670000,7.540000,7.540000,7.443697,2362600
2022-03-14,7.690000,7.800000,7.670000,7.690000,7.591782,2810700
2022-03-15,7.650000,7.690000,7.540000,7.670000,7.572037,3520100
2022-03-16,7.790000,7.960000,7.770000,7.950000,7.848461,2411100
2022-03-17,7.860000,8.000000,7.860000,7.940000,7.838589,4110100
2022-03-18,7.870000,8.040000,7.860000,8.030000,7.927438,3009600
2022-03-21,7.900000,7.920000,7.830000,7.880000,7.779355,2379600
2022-03-22,7.960000,8.070000,7.960000,8.000000,7.897822,1806000
2022-03-23,7.890000,7.930000,7.820000,7.850000,7.749738,3636100
2022-03-24,7.910000,7.940000,7.850000,7.930000,7.828716,1707600
2022-03-25,7.830000,7.920000,7.820000,7.900000,7.799099,1621500
2022-03-28,7.870000,7.930000,7.850000,7.920000,7.818844,1716900
